Farmer Name,Farm ID,Farm Size (Perches),Farm Type,Farm Location (Village),Farm Location (District),Crop Type,Brinjal Variety,Planting Start Date,Planting End Date,Expected Harvest (kg),Actual Harvest (kg),Soil Type,Soil pH Level,Seed Type,Seed Variety,Seed Source,Seed Quantity (g),Seed Cost (Rs.),Fertilizer Type,Fertilizer Brand,Total Fertilizer Quantity (kg),Fertilizer N-P-K Ratio,Fertilizer Application Schedule,Fertilizer Application Method,Fertilizer Cost (Rs.),Pesticide Type,Pesticide Name,Total Pesticide Quantity (kg),Pesticide Application Frequency,Pesticide Application Method,Pesticide Cost (Rs.),Water Source,Irrigation Method,Total Water Usage (liters),Irrigation Schedule,Irrigation Cost (Rs.),Total Number of Labor Hours,Total Labor Wages,Market Selling Price (Rs./kg),Total Sales Revenue (Rs.),Profit/Loss (Rs.),Buyer Type,Total Cost (Rs.),Yield per Perch,Cost per kg,ROI,Fertilizer Efficiency,Pesticide Efficiency,Water Efficiency,Labor Efficiency,Seed Efficiency,Final Performance Score,Cluster,Cluster Label,Enhanced Recommendations
Eran Wickramasinghe,6710,25.14,Organic,Hanwella,Colombo,Brinjal,Local,27/10/2024,20/01/2025,57.18,63.46,Sandy,5.0,Local,Variety-5,Certified,8,2788.68,Chemical,Brand-4,103.88,"10,10,10",Bi-weekly,Foliar Spray,8731.05,Chemical,Pesticide-5,37.03,As needed,Other,1447.72,Well,Flood Irrigation,159219.33,Daily,4045.21,8,2453.45,154.11,40680.42,4040.16,Retail,19466.11,2.5242641209228323,306.74613930034667,0.20754840078474845,0.610897183183508,1.7137455653862932,0.00039856969627746476,7.932499008437625,7.932499008437625,31.33,2,Low Performers,Consider switching seed type to 'Hybrid' for better results.; Consider switching seed variety to 'Variety-10' for better results.; Consider switching fertilizer application schedule to 'Monthly' for better results.; Consider switching pesticide application frequency to 'Bi-weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Drip' for better results.; Consider switching irrigation schedule to 'Based on moisture levels' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.
Chandana Fernando,7527,112.0,Mixed,Minuwangoda,Gampaha,Brinjal,Other,07/05/2024,28/08/2024,668.85,780.96,Mixed,5.57,Hybrid,Variety-7,Certified,135,989.08,Chemical,Brand-9,24.5,"10,10,10",Bi-weekly,Foliar Spray,3725.53,Organic,Pesticide-9,13.54,Bi-weekly,Drip Irrigation,1725.06,Rainwater Harvesting,Drip,1505123.64,Weekly,1735.96,8,1399.81,100.71,27617.7,8243.59,Retail,9575.44,6.972857142857143,12.261114525711944,0.8609097858688478,31.875917066289098,57.67798687754898,0.0005188676725584359,97.61998779750154,5.784888846037861,50.51,0,High Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer brand to 'Brand-1' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Amara Perera,4828,182.4,Conventional,Bulathsinhala,Kalutara,Brinjal,Hybrid,27/07/2024,16/11/2024,976.62,1010.78,Sandy,5.37,Local,Variety-2,Unverified,165,2565.13,Organic,Brand-8,15.68,"10,10,10",Bi-weekly,Soil Application,1829.42,Organic,Pesticide-4,21.94,Bi-weekly,Drip Irrigation,1849.45,Rainwater Harvesting,Sprinkler,2481867.21,Daily,3469.49,9,2561.95,371.97,109366.62,76595.58,Direct Consumers,12275.439999999999,5.54155701754386,12.144522052276459,6.2397421192234255,64.46300609292054,46.07018933134962,0.00040726594715741974,112.30887641012485,6.125939356812489,49.57,1,Moderate Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.
Chandana Fernando,5629,352.0,Mixed,Pussellawa,Kandy,Brinjal,Hybrid,23/06/2023,04/10/2023,2094.26,2079.35,Sandy,5.86,GMO,Variety-10,Certified,428,2009.19,Chemical,Brand-3,32.05,"8,14,10",Monthly,Soil Application,2718.72,Chemical,Pesticide-1,28.93,As needed,Spray,1667.28,Canal,Drip,4903479.39,Based on moisture levels,643.28,5,2609.61,444.54,87294.32,67207.8,Retail,9648.08,5.907244318181818,4.639949984370116,6.965924826493977,64.87831310832097,71.87521355426153,0.0004240560293248374,415.8699168260166,4.858294381172209,51.31,1,Moderate Performers,Consider switching seed variety to 'Variety-8' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Use targeted pesticide application to improve efficiency.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
Dinesh Kumara,5543,441.6,Mixed,Rattota,Matale,Brinjal,Other,14/03/2023,21/05/2023,2620.41,2383.22,Sandy,6.3,Local,Variety-4,Unverified,525,3298.35,Organic,Brand-3,36.93,"12,13,14",Monthly,Foliar Spray,2568.29,Organic,Pesticide-4,49.07,As needed,Other,2503.52,Rainwater Harvesting,Flood Irrigation,7335547.72,Based on moisture levels,3593.12,8,2025.32,313.02,139995.06,111829.22,Wholesale,13988.599999999999,5.396784420289855,5.869621772224134,7.994311081880961,64.53343989890496,48.56775935260323,0.0003248864421537258,297.90246276219216,4.539466658020063,48.62,1,Moderate Performers,Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Use targeted pesticide application to improve efficiency.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Eran Wickramasinghe,2785,752.0,Conventional,Ragala,Nuwara Eliya,Brinjal,Hybrid,25/11/2024,13/02/2025,4346.04,4813.96,Sandy,6.08,GMO,Variety-9,Certified,867,3151.53,Chemical,Brand-1,147.96,"10,10,10",Monthly,Soil Application,3942.66,Organic,Pesticide-10,42.77,As needed,Drip Irrigation,693.71,Rainwater Harvesting,Sprinkler,9981174.43,Daily,612.55,8,2333.54,353.97,109879.37,82810.6,Retail,10733.990000000002,6.401542553191489,2.229763022542772,7.714801299423606,32.53554992879461,112.55459171020361,0.00048230396470483463,601.7449247818845,5.5524336729499035,53.34,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide type to 'Chemical' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Use certified seeds to enhance germination and crop output.
Amara Perera,5238,312.0,Conventional,Welimada,Badulla,Brinjal,Hybrid,22/12/2023,20/03/2024,1897.26,1699.7,Mixed,6.12,Local,Variety-10,Own-grown,343,2627.16,Chemical,Brand-5,49.71,"10,10,10",Weekly,Soil Application,2823.73,Chemical,Pesticide-6,15.4,Weekly,Drip Irrigation,763.65,Rainwater Harvesting,Flood Irrigation,4413787.66,Daily,1584.29,5,1282.28,373.56,111205.08,96994.85,Wholesale,9081.109999999999,5.44775641025641,5.342772253927163,10.68094649222397,34.19231474165531,110.37012270323879,0.0003850887561726553,339.93993201201357,4.95539357155862,50.28,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching buyer type to 'Direct Consumers' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use higher-quality seeds and improve soil treatment for better yield.; Use certified seeds to enhance germination and crop output.
Dinesh Kumara,2980,755.2,Conventional,Bibile,Monaragala,Brinjal,Hybrid,09/11/2024,29/01/2025,4598.54,5226.61,Sandy,5.42,Local,Variety-2,Certified,797,507.21,Chemical,Brand-1,108.84,"10,10,10",Bi-weekly,Foliar Spray,4436.34,Chemical,Pesticide-8,41.35,As needed,Other,495.63,River,Drip,10279724.84,Daily,1584.71,4,1051.07,385.73,167738.55,156510.38,Retail,8074.96,6.920828919491525,1.544970831954173,19.382186413307313,48.02103961759427,126.39927142928,0.000508438706419645,1306.6521733369566,6.557854445975088,61.24,0,High Performers,Consider switching soil type to 'Mixed' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-7' for better results.; Consider switching seed source to 'Own-grown' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching fertilizer application method to 'Soil Application' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Drip Irrigation' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Flood Irrigation' for better results.; Consider switching buyer type to 'Wholesale' for better results.
Bandara Silva,6736,446.4,Conventional,Balangoda,Ratnapura,Brinjal,Hybrid,08/09/2023,15/11/2023,2388.08,2800.5,Loamy,5.69,GMO,Variety-2,Unverified,472,4859.8,Organic,Brand-1,44.22,"10,10,10",Weekly,Soil Application,1168.46,Chemical,Pesticide-6,27.4,As needed,Spray,499.34,Rainwater Harvesting,Sprinkler,7160173.72,Daily,2666.21,9,1477.51,109.51,42405.56,19914.16,Direct Consumers,10671.320000000002,6.273521505376344,3.8105052669166226,1.8661383971242542,63.33107048097987,102.20802546686039,0.00039112179529627515,311.16663209259644,5.933262699293935,51.04,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching seed source to 'Certified' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application method to 'Foliar Spray' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.
Bandara Silva,1914,470.4,Mixed,Deraniyagala,Kegalle,Brinjal,Hybrid,08/08/2023,21/11/2023,3329.87,2890.11,Mixed,5.62,Local,Variety-4,Certified,496,790.06,Organic,Brand-6,90.96,"5,15,15",Monthly,Foliar Spray,4550.59,Chemical,Pesticide-7,30.61,Bi-weekly,Drip Irrigation,1095.04,River,Flood Irrigation,8284257.87,Weekly,4473.66,8,2651.08,226.38,42801.67,10683.68,Direct Consumers,13560.429999999998,6.143941326530613,4.692011722737196,0.7878570222330709,31.773416537231572,94.41718084230052,0.00034886770128989854,361.26370484203693,5.826834665671704,48.55,1,Moderate Performers,Consider switching soil type to 'Sandy' for better results.; Consider switching seed type to 'GMO' for better results.; Consider switching seed variety to 'Variety-8' for better results.; Consider switching fertilizer type to 'Chemical' for better results.; Consider switching fertilizer brand to 'Brand-7' for better results.; Consider switching fertilizer application schedule to 'Weekly' for better results.; Consider switching pesticide application frequency to 'Weekly' for better results.; Consider switching pesticide application method to 'Other' for better results.; Consider switching water source to 'Rainwater Harvesting' for better results.; Consider switching irrigation method to 'Sprinkler' for better results.; Consider switching irrigation schedule to 'Daily' for better results.; Optimize fertilizer usage by applying better dosage based on soil tests.; Consider switching to drip irrigation for better water utilization.; Optimize labor distribution and reduce unnecessary workforce hours.; Use certified seeds to enhance germination and crop output.
